Psalm1.0	Psalm 1. Beatus vir, qui non abiit.	Psalm 1. Beatus vir, qui non abiit.	1000	1
Psalm14.8	8 Have they no knowledge, that they are all such workers of mischief * eating up my people as it were bread, and call not upon the Lord?	Have they no knowledge, that they are all such workers of mischief * eating up my people as it were bread, and call not upon the Lord?	14008	171
Psalm14.9	9 There were they brought in great fear, even where no fear was * for God is in the generation of the righteous.	There were they brought in great fear, even where no fear was * for God is in the generation of the righteous.	14009	172
Psalm14.10	10 As for you, ye have made a mock at the counsel of the poor * because he putteth his trust in the Lord.	As for you, ye have made a mock at the counsel of the poor * because he putteth his trust in the Lord.	14010	173
Psalm14.11	11 Who shall give salvation unto Israel out of Sion? When the Lord turneth the captivity of his people * then shall Jacob rejoice, and Israel shall be glad.	Who shall give salvation unto Israel out of Sion? When the Lord turneth the captivity of his people * then shall Jacob rejoice, and Israel shall be glad.	14011	174
Psalm15.0	Psalm 15. Domine, quis habitabit?	Psalm 15. Domine, quis habitabit?	15000	175
Psalm15.1	1 LORD, who shall dwell in thy tabernacle * or who shall rest upon thy holy hill?	LORD, who shall dwell in thy tabernacle * or who shall rest upon thy holy hill?	15001	176
Psalm15.2	2 Even he that leadeth an uncorrupt life * and doeth the thing which is right, and speaketh the truth from his heart.	Even he that leadeth an uncorrupt life * and doeth the thing which is right, and speaketh the truth from his heart.	15002	177
Psalm15.3	3 He that hath used no deceit in his tongue, nor done evil to his neighbour * and hath not slandered his neighbour.	He that hath used no deceit in his tongue, nor done evil to his neighbour * and hath not slandered his neighbour.	15003	178
Psalm15.4	4 He that setteth not by himself, but is lowly in his own eyes * and maketh much of them that fear the Lord.	He that setteth not by himself, but is lowly in his own eyes * and maketh much of them that fear the Lord.	15004	179
Psalm15.5	5 He that sweareth unto his neighbour, and disappointeth him not * though it were to his own hindrance.	He that sweareth unto his neighbour, and disappointeth him not * though it were to his own hindrance.	15005	180
Psalm15.6	6 He that hath not given his money upon usury * nor taken reward against the innocent.	He that hath not given his money upon usury * nor taken reward against the innocent.	15006	181
Psalm15.7	7 Whoso doeth these things * shall never fall.	Whoso doeth these things * shall never fall.	15007	182
Psalm16.0	Psalm 16. Conserva me, Domine.	Psalm 16. Conserva me, Domine.	16000	183
Psalm16.1	1 PRESERVE me, O God * for in thee have I put my trust.	PRESERVE me, O God * for in thee have I put my trust.	16001	184
Psalm16.2	2 O my soul, thou hast said unto the Lord * Thou art my God, my goods are nothing unto thee.	O my soul, thou hast said unto the Lord * Thou art my God, my goods are nothing unto thee.	16002	185
Psalm16.3	3 All my delight is upon the saints, that are in the earth * and upon such as excel in virtue.	All my delight is upon the saints, that are in the earth * and upon such as excel in virtue.	16003	186
Psalm16.4	4 But they that run after another god * shall have great trouble.	But they that run after another god * shall have great trouble.	16004	187
Psalm16.5	5 Their drink-offerings of blood will I not offer * neither make mention of their names within my lips.	Their drink-offerings of blood will I not offer * neither make mention of their names within my lips.	16005	188
Psalm16.6	6 The Lord himself is the portion of mine inheritance, and of my cup * thou shalt maintain my lot.	The Lord himself is the portion of mine inheritance, and of my cup * thou shalt maintain my lot.	16006	189
Psalm16.7	7 The lot is fallen unto me in a fair ground * yea, I have a goodly heritage.	The lot is fallen unto me in a fair ground * yea, I have a goodly heritage.	16007	190
Psalm16.8	8 I will thank the Lord for giving me warning * my reins also chasten me in the night-season.	I will thank the Lord for giving me warning * my reins also chasten me in the night-season.	16008	191
Psalm16.9	9 I have set God always before me * for he is on my right hand, therefore I shall not fall.	I have set God always before me * for he is on my right hand, therefore I shall not fall.	16009	192
Psalm16.10	10 Wherefore my heart was glad, and my glory rejoiced * my flesh also shall rest in hope.	Wherefore my heart was glad, and my glory rejoiced * my flesh also shall rest in hope.	16010	193
Psalm16.11	11 For why? thou shalt not leave my soul in hell * neither shalt thou suffer thy Holy One to see corruption.	For why? thou shalt not leave my soul in hell * neither shalt thou suffer thy Holy One to see corruption.	16011	194
Psalm16.12	12 Thou shalt shew me the path of life; in thy presence is the fulness of joy * and at thy right hand there is pleasure for evermore.	Thou shalt shew me the path of life; in thy presence is the fulness of joy * and at thy right hand there is pleasure for evermore.	16012	195
Psalm17.0	Psalm 17. Exaudi, Domine.	Psalm 17. Exaudi, Domine.	17000	196
Psalm17.1	1 HEAR the right, O Lord, consider my complaint * and hearken unto my prayer, that goeth not out of feigned lips.	HEAR the right, O Lord, consider my complaint * and hearken unto my prayer, that goeth not out of feigned lips.	17001	197
Psalm17.2	2 Let my sentence come forth from thy presence * and let thine eyes look upon the thing that is equal.	Let my sentence come forth from thy presence * and let thine eyes look upon the thing that is equal.	17002	198
Psalm17.3	3 Thou hast proved and visited mine heart in the night-season; thou hast tried me, and shalt find no wickedness in me; for I am utterly purposed that my mouth shall not offend.	Thou hast proved and visited mine heart in the night-season; thou hast tried me, and shalt find no wickedness in me; for I am utterly purposed that my mouth shall not offend.	17003	199
Psalm17.4	4 Because of men's works, that are done against the words of thy lips * I have kept me from the ways of the destroyer.	Because of men's works, that are done against the words of thy lips * I have kept me from the ways of the destroyer.	17004	200
Psalm17.5	5 O hold thou up my goings in thy paths * that my footsteps slip not.	O hold thou up my goings in thy paths * that my footsteps slip not.	17005	201
Psalm17.6	6 I have called upon thee, O God, for thou shalt hear me * incline thine ear to me, and hearken unto my words.	I have called upon thee, O God, for thou shalt hear me * incline thine ear to me, and hearken unto my words.	17006	202
Psalm17.7	7 Shew thy marvellous loving-kindness, thou that art the Saviour of them which put their trust in thee * from such as resist thy right hand.	Shew thy marvellous loving-kindness, thou that art the Saviour of them which put their trust in thee * from such as resist thy right hand.	17007	203
Psalm17.8	8 Keep me as the apple of an eye * hide me under the shadow of thy wings.	Keep me as the apple of an eye * hide me under the shadow of thy wings.	17008	204
Psalm17.9	9 From the ungodly that trouble me * mine enemies compass me round about to take away my soul.	From the ungodly that trouble me * mine enemies compass me round about to take away my soul.	17009	205
Psalm17.10	10 They are inclosed in their own fat * and their mouth speaketh proud things.	They are inclosed in their own fat * and their mouth speaketh proud things.	17010	206
Psalm17.11	11 They lie waiting in our way on every side * turning their eyes down to the ground.	They lie waiting in our way on every side * turning their eyes down to the ground.	17011	207
Psalm17.12	12 Like as a lion that is greedy of his prey * and as it were a lion's whelp, lurking in secret places.	Like as a lion that is greedy of his prey * and as it were a lion's whelp, lurking in secret places.	17012	208
Psalm17.13	13 Up, Lord, disappoint him, and cast him down * deliver my soul from the ungodly, which is a sword of thine;	Up, Lord, disappoint him, and cast him down * deliver my soul from the ungodly, which is a sword of thine;	17013	209
Psalm17.14	14 From the men of thy hand, O Lord, from the men, I say, and from the evil world * which have their portion in this life, whose bellies thou fillest with thy hid treasure.	From the men of thy hand, O Lord, from the men, I say, and from the evil world * which have their portion in this life, whose bellies thou fillest with thy hid treasure.	17014	210
Psalm17.15	15 They have children at their desire * and leave the rest of their substance for their babes.	They have children at their desire * and leave the rest of their substance for their babes.	17015	211
Psalm17.16	16 But as for me, I will behold thy presence in righteousness * and when I awake up after thy likeness, I shall be satisfied with it.	But as for me, I will behold thy presence in righteousness * and when I awake up after thy likeness, I shall be satisfied with it.	17016	212
Psalm18.0	Psalm 18. Diligam te, Domine.	Psalm 18. Diligam te, Domine.	18000	213
Psalm18.1	1 I WILL love thee, O Lord, my strength; the Lord is my stony rock, and my defence * my saviour, my God, and my might, in whom I will trust, my buckler, the horn also of my salvation, and my refuge.	I WILL love thee, O Lord, my strength; the Lord is my stony rock, and my defence * my saviour, my God, and my might, in whom I will trust, my buckler, the horn also of my salvation, and my refuge.	18001	214
