ValidationDropDownList	Hymnal	HymnNumber	PD	FirstLine	Tune	Metre	Occasion	EHNote	EHNote2
N45 The growing limbs of God the Son (ST CHAD)	NEH:New English Hymnal	45		The growing limbs of God the Son	ST CHAD				
N46a Why, impious Herod, shouldst thou fear (VENI REDEMPTOR)	NEH:New English Hymnal	46a		Why, impious Herod, shouldst thou fear	VENI REDEMPTOR				
N46b Why, impious Herod, shouldst thou fear (ST VENANTIUS)	NEH:New English Hymnal	46b		Why, impious Herod, shouldst thou fear	ST VENANTIUS				
N47 As with gladness men of old (DIX)	NEH:New English Hymnal	47		As with gladness men of old	DIX				
N48 Bethlehem of noblest cities (STUTTGART)	NEH:New English Hymnal	48		Bethlehem of noblest cities	STUTTGART				
N49a Brightest and best of the sons of the morning (WESSEX)	NEH:New English Hymnal	49a		Brightest and best of the sons of the morning	WESSEX				
N49b Brightest and best of the sons of the morning (EPIPHANY)	NEH:New English Hymnal	49b		Brightest and best of the sons of the morning	EPIPHANY				
N50 From the eastern mountains (KINGS' WESTON)	NEH:New English Hymnal	50		From the eastern mountains	KINGS' WESTON				
N51 Hail, thou Source of every blessing (REDHEAD NO. 46)	NEH:New English Hymnal	51		Hail, thou Source of every blessing	REDHEAD NO. 46				
N52 O worship the Lord in the beauty of holiness! (WAS LEBET)	NEH:New English Hymnal	52		O worship the Lord in the beauty of holiness!	WAS LEBET				
N53a This day the first of days was made (PRIMO DIERUM)	NEH:New English Hymnal	53a		This day the first of days was made	PRIMO DIERUM				
N53b This day the first of days was made (ANDERNACH)	NEH:New English Hymnal	53b		This day the first of days was made	ANDERNACH				
N54a O Trinity of blessed light (O LUX BEATA)	NEH:New English Hymnal	54a		O Trinity of blessed light	O LUX BEATA				
N54b O Trinity of blessed light (ILLSLEY)	NEH:New English Hymnal	54b		O Trinity of blessed light	ILLSLEY				
N55 Hail to the Lord's Anointed! (CRÜGER)	NEH:New English Hymnal	55		Hail to the Lord's Anointed!	CRÜGER				
N56 Songs of thankfulness and praise (ST EDMUND)	NEH:New English Hymnal	56		Songs of thankfulness and praise	ST EDMUND				
N57 The race that long in darkness pined (DUNDEE)	NEH:New English Hymnal	57		The race that long in darkness pined	DUNDEE				
N58 The sinless one to Jordan came (SOLEMNIS HAEC FETIVITAS)	NEH:New English Hymnal	58		The sinless one to Jordan came	SOLEMNIS HAEC FETIVITAS				
N59a Now is the healing time decreed (ECCE TEMPUS)	NEH:New English Hymnal	59a		Now is the healing time decreed	ECCE TEMPUS				
N59b Now is the healing time decreed (JENA (DAS NEUGEBORNE KINDELEIN))	NEH:New English Hymnal	59b		Now is the healing time decreed	JENA (DAS NEUGEBORNE KINDELEIN)				
N60a O kind Creator, bow thine ear (AUDI BENIGNE)	NEH:New English Hymnal	60a		O kind Creator, bow thine ear	AUDI BENIGNE				
N60b O kind Creator, bow thine ear (JESU CORONA)	NEH:New English Hymnal	60b		O kind Creator, bow thine ear	JESU CORONA				
N61 O Christ, who art the Light and Day (CHRISTE QUI LUX)	NEH:New English Hymnal	61		O Christ, who art the Light and Day	CHRISTE QUI LUX				
N62a Ah, holy Jesu, how hast thou offended (HERZLEIBSTER JESU)	NEH:New English Hymnal	62a		Ah, holy Jesu, how hast thou offended	HERZLEIBSTER JESU				
N62b Ah, holy Jesu, how hast thou offended (HERZLEIBSTER JESU)	NEH:New English Hymnal	62b		Ah, holy Jesu, how hast thou offended	HERZLEIBSTER JESU				
N63 All ye who seek a comfort sure (ST BERNARD)	NEH:New English Hymnal	63		All ye who seek a comfort sure	ST BERNARD				
N64 Be thou my guardian and my guide (ABRIDGE)	NEH:New English Hymnal	64		Be thou my guardian and my guide	ABRIDGE				
N65 Christian, dost thou see them (GUTE BÄUME BRINGEN)	NEH:New English Hymnal	65		Christian, dost thou see them	GUTE BÄUME BRINGEN				
N66 'Forgive our sins as we forgive' (EPWORTH)	NEH:New English Hymnal	66		'Forgive our sins as we forgive'	EPWORTH				
N67 Forty days and forty nights (AUS DER TIEFE)	NEH:New English Hymnal	67		Forty days and forty nights	AUS DER TIEFE				
N68 Jesu, Lord of life and glory (ST RAPHAEL)	NEH:New English Hymnal	68		Jesu, Lord of life and glory	ST RAPHAEL				
N69 Lord, in this thy mercy's day (ST PHILIP)	NEH:New English Hymnal	69		Lord, in this thy mercy's day	ST PHILIP				
N70a Lord Jesus, think on me (SOUTHWELL)	NEH:New English Hymnal	70a		Lord Jesus, think on me	SOUTHWELL				
N70b Lord Jesus, think on me (ST PAUL'S)	NEH:New English Hymnal	70b		Lord Jesus, think on me	ST PAUL'S				
N71 Maker of earth, to thee alone (DUNFIRMLINE)	NEH:New English Hymnal	71		Maker of earth, to thee alone	DUNFIRMLINE				
N72 My faith looks up to thee (OLIVET)	NEH:New English Hymnal	72		My faith looks up to thee	OLIVET				
N73a My God, I love thee; not because (SOLOMON)	NEH:New English Hymnal	73a		My God, I love thee; not because	SOLOMON				
N73b My God, I love thee; not because (ST FRANCIS XAVIER)	NEH:New English Hymnal	73b		My God, I love thee; not because	ST FRANCIS XAVIER				
N74 O for a heart to praise my God (STOCKTON)	NEH:New English Hymnal	74		O for a heart to praise my God	STOCKTON				
N75 O thou who dost accord us (INNSBRUCK)	NEH:New English Hymnal	75		O thou who dost accord us	INNSBRUCK				
N76 Take up thy cross, the Saviour said (BRESLAU)	NEH:New English Hymnal	76		Take up thy cross, the Saviour said	BRESLAU				
N77 The God of love my Shepherd is (UNIVERSITY)	NEH:New English Hymnal	77		The God of love my Shepherd is	UNIVERSITY				
N78 Sing, my tongue, the glorious battle (PANGE LINGUA)	NEH:New English Hymnal	78		Sing, my tongue, the glorious battle	PANGE LINGUA				
N79 The royal banners forward go (VEXILLA REGIS)	NEH:New English Hymnal	79		The royal banners forward go	VEXILLA REGIS				
N80a Servant of God, remember (CULTO DEI)	NEH:New English Hymnal	80a		Servant of God, remember	CULTO DEI				
N80b Servant of God, remember (NUN LASST UNS GEH'N)	NEH:New English Hymnal	80b		Servant of God, remember	NUN LASST UNS GEH'N				
N81 Dost thou truly seek renown (DAS IST MEINE FREUDE)	NEH:New English Hymnal	81		Dost thou truly seek renown	DAS IST MEINE FREUDE				
N82 Drop, drop slow tears, And bathe those beauteous feet (SONG 46)	NEH:New English Hymnal	82		Drop, drop slow tears, And bathe those beauteous feet	SONG 46				
N83 Glory be to Jesus (CASWALL)	NEH:New English Hymnal	83		Glory be to Jesus	CASWALL				
N84 It is a thing most wonderful (HERONGATE)	NEH:New English Hymnal	84		It is a thing most wonderful	HERONGATE				
N85 Jesu, meek and lowly (ST MARTIN)	NEH:New English Hymnal	85		Jesu, meek and lowly	ST MARTIN				
N86 My song is love unknown (LOVE UNKNOWN)	NEH:New English Hymnal	86		My song is love unknown	LOVE UNKNOWN				
N87 Nature with open volume stands (NÜRNBERG)	NEH:New English Hymnal	87		Nature with open volume stands	NÜRNBERG				
N88 Now my soul, thy voice upraising (WEBBE'S ST THOMAS)	NEH:New English Hymnal	88		Now my soul, thy voice upraising	WEBBE'S ST THOMAS				
N89a O dearest Lord, thy sacred head (BELMONT)	NEH:New English Hymnal	89a		O dearest Lord, thy sacred head	BELMONT				
N89b O dearest Lord, thy sacred head (AYRSHIRE)	NEH:New English Hymnal	89b		O dearest Lord, thy sacred head	AYRSHIRE				
N90a O sacred head, sore wounded (PASSION CHORALE)	NEH:New English Hymnal	90a		O sacred head, sore wounded	PASSION CHORALE				
N90b O sacred head, sore wounded (PASSION CHORALE)	NEH:New English Hymnal	90b		O sacred head, sore wounded	PASSION CHORALE				
N91 Sweet the moments, rich in blessing (BATTY)	NEH:New English Hymnal	91		Sweet the moments, rich in blessing	BATTY				
N92 There is a green hill far away (HORSLEY)	NEH:New English Hymnal	92		There is a green hill far away	HORSLEY				
N93a Were you there when they crucified my Lord? (WERE YOU THERE?)	NEH:New English Hymnal	93a		Were you there when they crucified my Lord?	WERE YOU THERE?				
N93b Were you there when they crucified my Lord? (WERE YOU THERE?)	NEH:New English Hymnal	93b		Were you there when they crucified my Lord?	WERE YOU THERE?				
N94 We sing the praise of him who died (BOW BRICKHILL)	NEH:New English Hymnal	94		We sing the praise of him who died	BOW BRICKHILL				
N95 When I survey the wondrous Cross (ROCKINGHAM)	NEH:New English Hymnal	95		When I survey the wondrous Cross	ROCKINGHAM				
N96 O thou who through this holy week (CHESHIRE)	NEH:New English Hymnal	96		O thou who through this holy week	CHESHIRE				
N97 At the Cross her station keeping (STABAT MATER)	NEH:New English Hymnal	97		At the Cross her station keeping	STABAT MATER				
N98 O come and stand beneath the cross (ST CROSS)	NEH:New English Hymnal	98		O come and stand beneath the cross	ST CROSS				
N99 It is finished! Blessèd Jesus (OMNI DEI)	NEH:New English Hymnal	99		It is finished! Blessèd Jesus	OMNI DEI				
N100a The day draws on with golden light (AURORA LUCIS)	NEH:New English Hymnal	100a		The day draws on with golden light	AURORA LUCIS				
N100b The day draws on with golden light (RESURREXIT)	NEH:New English Hymnal	100b		The day draws on with golden light	RESURREXIT				
N101a The Lamb's high banquet we await (AD CENAM AGNI)	NEH:New English Hymnal	101a		The Lamb's high banquet we await	AD CENAM AGNI				
N101b The Lamb's high banquet we await (DEUS TUORUM MILITUM)	NEH:New English Hymnal	101b		The Lamb's high banquet we await	DEUS TUORUM MILITUM				
N102 A brighter dawn is breaking (NUN LASST UNS GOTT)	NEH:New English Hymnal	102		A brighter dawn is breaking	NUN LASST UNS GOTT				
N103 Alleluya! Alleluya! (LUX EOI)	NEH:New English Hymnal	103		Alleluya! Alleluya!	LUX EOI				
N104 At the Lamb's high feast we sing (SALZBURG)	NEH:New English Hymnal	104		At the Lamb's high feast we sing	SALZBURG				
N105a Christ the Lord is risen again! (ORIENTIS PARTIBUS)	NEH:New English Hymnal	105a		Christ the Lord is risen again!	ORIENTIS PARTIBUS				
N105b Christ the Lord is risen again! (WÜRTEMBURG)	NEH:New English Hymnal	105b		Christ the Lord is risen again!	WÜRTEMBURG				
N106 Come, ye faithful, raise the strain (AVE VIRGO VIRGINUM)	NEH:New English Hymnal	106		Come, ye faithful, raise the strain	AVE VIRGO VIRGINUM				
N107 Good Christian men, rejoice and sing! (VULPIUS (GELOB'T SEI GOTT))	NEH:New English Hymnal	107		Good Christian men, rejoice and sing!	VULPIUS (GELOB'T SEI GOTT)				
N108 Hail, Easter bright, in glory dight! (SOUTHWOLD)	NEH:New English Hymnal	108		Hail, Easter bright, in glory dight!	SOUTHWOLD				
N109a Lo, the fair beauty of earth (SALVE FESTA DIES)	NEH:New English Hymnal	109a		Lo, the fair beauty of earth	SALVE FESTA DIES				
N109b Lo, the fair beauty of earth (SALVE FESTA DIES)	NEH:New English Hymnal	109b		Lo, the fair beauty of earth	SALVE FESTA DIES				
N110 Jesus Christ is risen to-day, Alleluya! (EASTER HYMN)	NEH:New English Hymnal	110		Jesus Christ is risen to-day, Alleluya!	EASTER HYMN				
N111 Jesus Christ is risen (TRIER)	NEH:New English Hymnal	111		Jesus Christ is risen	TRIER				
N112 Jesus lives! thy terrors now (ST ALBINUS)	NEH:New English Hymnal	112		Jesus lives! thy terrors now	ST ALBINUS				
N113 Love's redeeming work is done (SAVANNAH (HERRNHUT))	NEH:New English Hymnal	113		Love's redeeming work is done	SAVANNAH (HERRNHUT)				
N114 Now is eternal life (CHRISTCHURCH)	NEH:New English Hymnal	114		Now is eternal life	CHRISTCHURCH				
N115 Now the green blade riseth from the buried grain (NOEL NOUVELET)	NEH:New English Hymnal	115		Now the green blade riseth from the buried grain	NOEL NOUVELET				
N116 O praise our great and glorious Lord (ST MATTHEW)	NEH:New English Hymnal	116		O praise our great and glorious Lord	ST MATTHEW				
N117 The Day of Resurrection! (ELLACOMBE)	NEH:New English Hymnal	117		The Day of Resurrection!	ELLACOMBE				
N118 The Lord is risen indeed! (NARENZA)	NEH:New English Hymnal	118		The Lord is risen indeed!	NARENZA				
N119 The strife is o'er, the battle done (VICTORY)	NEH:New English Hymnal	119		The strife is o'er, the battle done	VICTORY				
N120 Thine be the glory, risen conquering Son (MACCABAEUS)	NEH:New English Hymnal	120		Thine be the glory, risen conquering Son	MACCABAEUS				
N121 This joyful Eastertide (THIS JOYFUL EASTERTIDE)	NEH:New English Hymnal	121		This joyful Eastertide	THIS JOYFUL EASTERTIDE				
N122 Thou hallowed chosen morn of praise (MACH'T MIT MIR GOTT)	NEH:New English Hymnal	122		Thou hallowed chosen morn of praise	MACH'T MIT MIR GOTT				
N123 Walking in a garden (DUN ALUINN)	NEH:New English Hymnal	123		Walking in a garden	DUN ALUINN				
N124 Ye choirs of new Jerusalem (ST FULBERT)	NEH:New English Hymnal	124		Ye choirs of new Jerusalem	ST FULBERT				
N125a Ye sons and daughters of the King (O FILII ET FILIAE)	NEH:New English Hymnal	125a		Ye sons and daughters of the King	O FILII ET FILIAE				
N125b Ye sons and daughters of the King (O FILII ET FILIAE)	NEH:New English Hymnal	125b		Ye sons and daughters of the King	O FILII ET FILIAE				
N126 Lord, in thy name thy servants plead (LINCOLN)	NEH:New English Hymnal	126		Lord, in thy name thy servants plead	LINCOLN				
N127 To thee our God we fly (CROFTS 136TH)	NEH:New English Hymnal	127		To thee our God we fly	CROFTS 136TH				
N128a Eternal Monarch, King most high (AD CENAM AGNI)	NEH:New English Hymnal	128a		Eternal Monarch, King most high	AD CENAM AGNI				
N128b Eternal Monarch, King most high (GONFALON ROYAL)	NEH:New English Hymnal	128b		Eternal Monarch, King most high	GONFALON ROYAL				
N129 O Christ, our hope, our hearts' desire (METZLER'S REDHEAD NO 66)	NEH:New English Hymnal	129		O Christ, our hope, our hearts' desire	METZLER'S REDHEAD NO 66				
N130a Hail the day that sees him rise Alleluya! (LLANFAIR)	NEH:New English Hymnal	130a		Hail the day that sees him rise Alleluya!	LLANFAIR				
N130b Hail the day that sees him rise Alleluya! (CHISLEHURST)	NEH:New English Hymnal	130b		Hail the day that sees him rise Alleluya!	CHISLEHURST				
N131 O King most high of earth and sky (ACH GOTT UND HERR)	NEH:New English Hymnal	131		O King most high of earth and sky	ACH GOTT UND HERR				
N132 See the Conqueror mounts in triumph (REX GLORIAE)	NEH:New English Hymnal	132		See the Conqueror mounts in triumph	REX GLORIAE				
N133 The eternal gates lift up their heads (CRUCIS VICTORIA)	NEH:New English Hymnal	133		The eternal gates lift up their heads	CRUCIS VICTORIA				
N134 The head that once was crowned with thorns (ST MAGNUS)	NEH:New English Hymnal	134		The head that once was crowned with thorns	ST MAGNUS				
N135 The Lord ascendeth up on high (NUN FREUT EUCH)	NEH:New English Hymnal	135		The Lord ascendeth up on high	NUN FREUT EUCH				
N136a Rejoice, the year upon its way (VENI CREATOR)	NEH:New English Hymnal	136a		Rejoice, the year upon its way	VENI CREATOR				
N136b Rejoice, the year upon its way (FINNART)	NEH:New English Hymnal	136b		Rejoice, the year upon its way	FINNART				
N137 Come down, O Love divine (DOWN AMPNEY)	NEH:New English Hymnal	137		Come down, O Love divine	DOWN AMPNEY				
N138 Come, Holy Ghost, our souls inspire (VENI CREATOR (MECHLIN))	NEH:New English Hymnal	138		Come, Holy Ghost, our souls inspire	VENI CREATOR (MECHLIN)				
N139a Come, thou Holy Spirit, come (VENI SANCTE SPITITUS)	NEH:New English Hymnal	139a		Come, thou Holy Spirit, come	VENI SANCTE SPITITUS				
N139b Come, thou Holy Spirit, come (PROMPTO GENTES ANIMO)	NEH:New English Hymnal	139b		Come, thou Holy Spirit, come	PROMPTO GENTES ANIMO				
N140 Holy Spirit, come, confirm us (ALL FOR JESUS)	NEH:New English Hymnal	140		Holy Spirit, come, confirm us	ALL FOR JESUS				
N141 Holy Spirit, ever dwelling (SALISBURY)	NEH:New English Hymnal	141		Holy Spirit, ever dwelling	SALISBURY				
N142 Sing to him in whom creation (FINNIAN)	NEH:New English Hymnal	142		Sing to him in whom creation	FINNIAN				
N143 Spirit of mercy, truth and love (BIRLING)	NEH:New English Hymnal	143		Spirit of mercy, truth and love	BIRLING				
N144 Father most holy, merciful and tender (O PATER SANCTE)	NEH:New English Hymnal	144		Father most holy, merciful and tender	O PATER SANCTE				
N145 All hail, adorèd Trinity (ILLSLEY)	NEH:New English Hymnal	145		All hail, adorèd Trinity	ILLSLEY				
N146 Holy, Holy, Holy! Lord God Almighty! (NICAEA)	NEH:New English Hymnal	146		Holy, Holy, Holy! Lord God Almighty!	NICAEA				
N147 Most ancient of all mysteries (ST FLAVIAN)	NEH:New English Hymnal	147		Most ancient of all mysteries	ST FLAVIAN				
N148 The God of Abraham praise (LEONI)	NEH:New English Hymnal	148		The God of Abraham praise	LEONI				
N149a Father, we praise thee, now the night is over (NOCTE SURGENTES)	NEH:New English Hymnal	149a		Father, we praise thee, now the night is over	NOCTE SURGENTES				
N149b Father, we praise thee, now the night is over (CHRISTE SANCTORUM)	NEH:New English Hymnal	149b		Father, we praise thee, now the night is over	CHRISTE SANCTORUM				
N150a O blest Creator of the light (LUCIS CREATOR)	NEH:New English Hymnal	150a		O blest Creator of the light	LUCIS CREATOR				
N150b O blest Creator of the light (LUCIS CREATOR)	NEH:New English Hymnal	150b		O blest Creator of the light	LUCIS CREATOR				
N151 Now that the daylight fills the sky (JAM LUCIS ORTO)	NEH:New English Hymnal	151		Now that the daylight fills the sky	JAM LUCIS ORTO				
N152 Creator of the earth and sky (DEUS CREATOR)	NEH:New English Hymnal	152		Creator of the earth and sky	DEUS CREATOR				
N153a O let the heart beat high with bliss (EXULTET COR)	NEH:New English Hymnal	153a		O let the heart beat high with bliss	EXULTET COR				
N153b O let the heart beat high with bliss (CROMER)	NEH:New English Hymnal	153b		O let the heart beat high with bliss	CROMER				
N154a A heavenly splendour from on high (SPLENDOR COELESTIS)	NEH:New English Hymnal	154a		A heavenly splendour from on high	SPLENDOR COELESTIS				
N154b A heavenly splendour from on high (ST PETERSBURG)	NEH:New English Hymnal	154b		A heavenly splendour from on high	ST PETERSBURG				
N155 We sing the glorious conquest (KING'S LYNN)	NEH:New English Hymnal	155		We sing the glorious conquest	KING'S LYNN				
N156 Sing how the age-long promise of a Saviour (ISTE CONFESSOR (I))	NEH:New English Hymnal	156		Sing how the age-long promise of a Saviour	ISTE CONFESSOR (I)				
N157 Hail to the Lord who comes (OLD 120TH)	NEH:New English Hymnal	157		Hail to the Lord who comes	OLD 120TH				
N158 We praise thy name, all-holy Lord (LLANGLOFFAN)	NEH:New English Hymnal	158		We praise thy name, all-holy Lord	LLANGLOFFAN				
N159 I bind unto myself today (ST PATRICK'S BREASTPLATE)	NEH:New English Hymnal	159		I bind unto myself today	ST PATRICK'S BREASTPLATE				
N160 Lord, hear the praises of thy faithful people (O PATER SANCTE)	NEH:New English Hymnal	160		Lord, hear the praises of thy faithful people	O PATER SANCTE				
N161 For Mary, Mother of the Lord (KILMARNOCK)	NEH:New English Hymnal	161		For Mary, Mother of the Lord	KILMARNOCK				
N162 Lord God of Hosts, within whose hand (MELITA)	NEH:New English Hymnal	162		Lord God of Hosts, within whose hand	MELITA				
N163 The Saint who first found grace to pen (BROCKHAM)	NEH:New English Hymnal	163		The Saint who first found grace to pen	BROCKHAM				
N164 Twin princes of the courts of heaven (WELLS)	NEH:New English Hymnal	164		Twin princes of the courts of heaven	WELLS				
N165 The highest and the holiest place (JACKSON)	NEH:New English Hymnal	165		The highest and the holiest place	JACKSON				
N166 Now in holy celebration (URBS BEATA)	NEH:New English Hymnal	166		Now in holy celebration	URBS BEATA				
N167 The 'Son of Consolation' (AURELIA)	NEH:New English Hymnal	167		The 'Son of Consolation'	AURELIA				
N168 On this high feast day honour we the Baptist (UT QUEANT LAXIS)	NEH:New English Hymnal	168		On this high feast day honour we the Baptist	UT QUEANT LAXIS				
N169 Hail, harbinger of morn (HAIL, HARBINGER OF MORN)	NEH:New English Hymnal	169		Hail, harbinger of morn	HAIL, HARBINGER OF MORN				
N170a Lo, in the wilderness a voice (LUTHER'S HYMN (NUN FREUT EUCH))	NEH:New English Hymnal	170a		Lo, in the wilderness a voice	LUTHER'S HYMN (NUN FREUT EUCH)				
N170b Lo, in the wilderness a voice (LINDEMAN)	NEH:New English Hymnal	170b		Lo, in the wilderness a voice	LINDEMAN				
N171 With golden splendour and with roseate hues of morn (ANNUE CHRISTE)	NEH:New English Hymnal	171		With golden splendour and with roseate hues of morn	ANNUE CHRISTE				
N172 Thou art the Christ, O Lord (CROFT'S 136TH)	NEH:New English Hymnal	172		Thou art the Christ, O Lord	CROFT'S 136TH				
N173 Blessed Thomas, doubt no longer (ST AUDREY)	NEH:New English Hymnal	173		Blessed Thomas, doubt no longer	ST AUDREY				
N174 Mary, weep not, weep no longer (URBS BEATA)	NEH:New English Hymnal	174		Mary, weep not, weep no longer	URBS BEATA				
N175 Lord, who shall sit beside thee (CHRISTUS DER IST MEIN LEBEN)	NEH:New English Hymnal	175		Lord, who shall sit beside thee	CHRISTUS DER IST MEIN LEBEN				
N176a O vision blest of heavenly light (COELESTIS GLORIAE)	NEH:New English Hymnal	176a		O vision blest of heavenly light	COELESTIS GLORIAE				
N176b O vision blest of heavenly light (ST BARTHOLOMEW)	NEH:New English Hymnal	176b		O vision blest of heavenly light	ST BARTHOLOMEW				
N177 Christ, upon the mountain peak (CHRISTUS IST ERSTANDEN)	NEH:New English Hymnal	177		Christ, upon the mountain peak	CHRISTUS IST ERSTANDEN				
N178 'Tis good, Lord, to be here! (CARLISLE)	NEH:New English Hymnal	178		'Tis good, Lord, to be here!	CARLISLE				
N179 Saints of God! Lo, Jesu's people (GOTT WILL'S MACHEN)	NEH:New English Hymnal	179		Saints of God! Lo, Jesu's people	GOTT WILL'S MACHEN				
N180a Hail, O Star that pointest (AVE MARIS STELLA)	NEH:New English Hymnal	180a		Hail, O Star that pointest	AVE MARIS STELLA				
N180b Hail, O Star that pointest (AVE MARIS STELLA)	NEH:New English Hymnal	180b		Hail, O Star that pointest	AVE MARIS STELLA				
N181a The Lord whom earth and sea and sky (VENI REDEMPTOR)	NEH:New English Hymnal	181a		The Lord whom earth and sea and sky	VENI REDEMPTOR				
N181b The Lord whom earth and sea and sky (PUER NOBIS NASCITUR)	NEH:New English Hymnal	181b		The Lord whom earth and sea and sky	PUER NOBIS NASCITUR				
N182 Her Virgin eyes saw God incarnate born (FARLEY CASTLE)	NEH:New English Hymnal	182		Her Virgin eyes saw God incarnate born	FARLEY CASTLE				
N183 O glorious Maid, exalted far (IVYHATCH)	NEH:New English Hymnal	183		O glorious Maid, exalted far	IVYHATCH				
N184 Shall we not love thee, Mother dear (BEATITUDO)	NEH:New English Hymnal	184		Shall we not love thee, Mother dear	BEATITUDO				
N185 Sing we of the blessèd Mother (ABBOT'S LEIGH)	NEH:New English Hymnal	185		Sing we of the blessèd Mother	ABBOT'S LEIGH				
N186 Tell out, my soul, the greatness of the Lord (WOODLANDS)	NEH:New English Hymnal	186		Tell out, my soul, the greatness of the Lord	WOODLANDS				
N187 Virgin born, we bow before thee (MON DIEU, PRÊTE MOI L'OREILLE)	NEH:New English Hymnal	187		Virgin born, we bow before thee	MON DIEU, PRÊTE MOI L'OREILLE				
N188a Ye who own the faith of Jesus (DEN DES VATERS SINN GEBOREN)	NEH:New English Hymnal	188a		Ye who own the faith of Jesus	DEN DES VATERS SINN GEBOREN				
N188b Ye who own the faith of Jesus (DAILY, DAILY)	NEH:New English Hymnal	188b		Ye who own the faith of Jesus	DAILY, DAILY				
N189 He sat to watch o'er customs paid (ALFRETON)	NEH:New English Hymnal	189		He sat to watch o'er customs paid	ALFRETON				
N190a Christ, the fair glory of the holy angels (ISTE CONFESSOR)	NEH:New English Hymnal	190a		Christ, the fair glory of the holy angels	ISTE CONFESSOR				
N190b Christ, the fair glory of the holy angels (COELITES PLAUDANT)	NEH:New English Hymnal	190b		Christ, the fair glory of the holy angels	COELITES PLAUDANT				
N191 Around the throne of God a band (SOLOTHURN)	NEH:New English Hymnal	191		Around the throne of God a band	SOLOTHURN				
N192 Sons of the Holy One bright with his splendour (LIEBSTER IMMANUEL)	NEH:New English Hymnal	192		Sons of the Holy One bright with his splendour	LIEBSTER IMMANUEL				
N193a Stars of the morning, so gloriously bright (QUEDLINBURG)	NEH:New English Hymnal	193a		Stars of the morning, so gloriously bright	QUEDLINBURG				
N193b Stars of the morning, so gloriously bright (TRISAGION)	NEH:New English Hymnal	193b		Stars of the morning, so gloriously bright	TRISAGION				
N194 Saviour, who didst healing give (JESUS IST DAS SCHÖNSTE LICHT)	NEH:New English Hymnal	194		Saviour, who didst healing give	JESUS IST DAS SCHÖNSTE LICHT				
N195 Lord of all the saints, we praise thee (TANTUM ERGO)	NEH:New English Hymnal	195		Lord of all the saints, we praise thee	TANTUM ERGO				
N196a Father, in whom thy saints are one (EXULTET COR)	NEH:New English Hymnal	196a		Father, in whom thy saints are one	EXULTET COR				
N196b Father, in whom thy saints are one (KENT)	NEH:New English Hymnal	196b		Father, in whom thy saints are one	KENT				
N197 For all the Saints who from their labours rest (SINE NOMINE)	NEH:New English Hymnal	197		For all the Saints who from their labours rest	SINE NOMINE				
N198 The Church triumphant in thy love (EATINGTON)	NEH:New English Hymnal	198		The Church triumphant in thy love	EATINGTON				
N199 God, whose city's sure foundation (OBIIT)	NEH:New English Hymnal	199		God, whose city's sure foundation	OBIIT				
N200 Jesus calls us! O'er the tumult (ST ANDREW)	NEH:New English Hymnal	200		Jesus calls us! O'er the tumult	ST ANDREW				
N201 Stephen, first of Christian martyrs (EVERTON)	NEH:New English Hymnal	201		Stephen, first of Christian martyrs	EVERTON				
N202 Word supreme, before creation (GRAFTON)	NEH:New English Hymnal	202		Word supreme, before creation	GRAFTON				
N203 When Christ was born in Bethlehem (RODMELL)	NEH:New English Hymnal	203		When Christ was born in Bethlehem	RODMELL				
N204 Blessèd City, heavenly Salem (URBS BEATA)	NEH:New English Hymnal	204		Blessèd City, heavenly Salem	URBS BEATA				
N205 Christ is made the sure foundation (WESTMINSTER ABBEY)	NEH:New English Hymnal	205		Christ is made the sure foundation	WESTMINSTER ABBEY				
N206 Christ is our corner-stone (HAREWOOD)	NEH:New English Hymnal	206		Christ is our corner-stone	HAREWOOD				
N207 Eternal Power, whose high abode (IVYHATCH)	NEH:New English Hymnal	207		Eternal Power, whose high abode	IVYHATCH				
N208 In our day of Thanksgiving one psalm let us offer (ST CATHERINE'S COURT)	NEH:New English Hymnal	208		In our day of Thanksgiving one psalm let us offer	ST CATHERINE'S COURT				
N209 Lo! God is here! let us adore (MACH'S MIT MIR GOTT)	NEH:New English Hymnal	209		Lo! God is here! let us adore	MACH'S MIT MIR GOTT				
N210 Only-begotten, Word of God eternal (ISTE CONFESSOR (2))	NEH:New English Hymnal	210		Only-begotten, Word of God eternal	ISTE CONFESSOR (2)				
N211 O Word of God above (ST EDMUND)	NEH:New English Hymnal	211		O Word of God above	ST EDMUND				
N212 Sion's daughters! Sons of Jerusalem! (SION'S DAUGHTERS)	NEH:New English Hymnal	212		Sion's daughters! Sons of Jerusalem!	SION'S DAUGHTERS				
N213a The eternal gifts of Christ the King (AETERNA CHRISTI MUNERA)	NEH:New English Hymnal	213a		The eternal gifts of Christ the King	AETERNA CHRISTI MUNERA				
N213b The eternal gifts of Christ the King (AETERNA CHRISTI MUNERA)	NEH:New English Hymnal	213b		The eternal gifts of Christ the King	AETERNA CHRISTI MUNERA				
N214a Let the round world with songs rejoice (EXULTET CAELUM LAUDIBUS)	NEH:New English Hymnal	214a		Let the round world with songs rejoice	EXULTET CAELUM LAUDIBUS				
N214b Let the round world with songs rejoice (DEUS TUORUM MILITUM)	NEH:New English Hymnal	214b		Let the round world with songs rejoice	DEUS TUORUM MILITUM				
N215 Captains of the saintly band (HARTS)	NEH:New English Hymnal	215		Captains of the saintly band	HARTS				
