 PropersID	Seq	MM-DD	Collect of the Day
Transfiguration of the Lord	251	 08-06	O GOD, who on the holy mount didst reveal to chosen witnesses thine Only Begotten Son wonderfully transfigured, in raiment white and glistening: mercifully grant that we, being delivered from the disquietude of this world; may be permitted to behold the King in his beauty; who with thee, O Father, and thee, O Holy Spirit, liveth and reigneth, ever one God, world without end. * Amen.
Ss Sixtus II, Pope, & Companions, Martyrs	252	 08-07	O GOD, who dost vouchsafe unto us to celebrate the heavenly birthday of thy holy Martyrs, blessed Pope Sixtus and his Companions: grant us to rejoice in the perpetual felicity of their fellowship in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Cajetan, Priest	253	 08-07	O GOD, who didst give to thy blessed Confessor Cajetan to live after the likeness of thine Apostles: grant to us also, by his intercession and example, to put our trust in thee, and to seek after heavenly things alone; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Dominic, Natural Science Patron, Founder, Priest	254	 08-08	ALMIGHTY God, whose Priest Dominic grew in the knowledge of thy truth, and formed an order of preachers to proclaim the faith of Christ: by thy grace, grant to all thy people a love for thy word and a longing to share the Gospel; that the whole world may be filled with the knowledge of thee and of thy Son Jesus Christ our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Teresa Benedicta of the Cross, Virgin, Martyr	255	 08-09	O GOD of our fathers, who didst lead the blessed Martyr Saint Teresa Benedicta of the Cross to know thy crucified Son and imitate him even unto death: mercifully grant; that, by her intercession, all men may know Christ as Saviour, and through him come to thine eternal vision; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Laurence, Deacon, Martyr	256	 08-10	ALMIGHTY God, who didst endue blessed Laurence with power to overcome the fires of his torments: give us grace, we beseech thee; to quench the flames of our sins; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Clare, Virgin	257	 08-11	GRACIOUSLY hear us, O God of our salvation: that we who rejoice in the festival of blessed Clare, thy Virgin; may grow in the knowledge and love of true devotion; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Jane Frances de Chantal, Religious	258	 08-12	O GOD, who madest Saint Jane Frances de Chantal radiant with outstanding merits in diverse paths of life in the way of perfection: grant us, through her intercession; that, walking faithfully in our vocation, we may ever be examples of thy shining light; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Pontian, Pope, & Hippolytus, Priest, Martyrs	259	 08-13	GRANT, we beseech thee, almighty God: that we, who on this day devoutly observe the festival of thy holy Martyrs, blessed Pontian and Hippolytus; may thereby increase in godliness to the attainment of everlasting salvation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Maximilian Kolbe, Priest, Martyr	260	 08-14	MOST gracious God, who didst fill thy Priest and Martyr Maximilian Kolbe with zeal for thine house and love of his neighbour: vouchsafe that, holpen by the prayers of this devoted servant of the immaculate Mother of God; we too may strive to serve others for thy glory, and become like unto thy dear Son, who loved his own even unto the end; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
ASSUMPTION OF OUR LADY:VIGIL	261	 08-14	O GOD, who didst vouchsafe to choose the virgin womb of Blessed Mary wherein to make thy dwelling: grant, we beseech thee; that, being defended by her protection, we may be enabled to take part with gladness in her festival: through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
ASSUMPTION OF OUR LADY	262	 08-15	ALMIGHTY and everlasting God, who didst assume the Immaculate Virgin Mary, Mother of thy Son, body and soul to the glory of heaven: grant us, we beseech thee; that being ever intent on things above, we may be worthy to be partakers of her glory hereafter; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Stephen of Hungary, King	263	 08-16	GRANT thy Church, we pray, almighty God: that she may have Saint Stephen of Hungary, who fostered her growth while a king on earth, as her glorious defender in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Eudes, Priest	264	 08-19	O GOD, who didst wonderfully choose thy Priest Saint John Eudes to proclaim the unfathomable riches of Christ: grant us, by his example and teachings; that, growing in knowledge of thee, we may live faithfully by the light of the Gospel; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Bernard of Clairvaux, Abbot, Doctor	265	 08-20	O GOD, by whose grace the blessed Abbot Bernard, kindled with the fire of thy love, became a burning and a shining light in thy Church: grant, at his intercession; that we may be inflamed with the same spirit of love, and ever walk before thee as children of light; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Pius X, Pope	266	 08-21	O GOD, who for the defence of the Catholic faith, and the restoring of all things in Christ, didst fill thy Supreme Pontiff, Saint Pius the Tenth, with heavenly wisdom and apostolic fortitude: graciously grant; that, following his teaching and example, we may attain unto eternal rewards; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Queenship of our Lady	267	 08-22	GRANT to us, we beseech thee, O Lord: that we, who celebrate the festival of the Blessed Virgin Mary our Queen, being defended by her succour; may obtain peace in this world, and glory in that which is to come; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Rose of Lima, Virgin	268	 08-23	ALMIGHTY God, the giver of all good gifts, who didst will that Saint Rose, bedewed with heavenly graces, should blossom forth among the peoples of the Americas as a flower of virginity and suffering: grant to us thy servants, so to run after her in the fragrance of her sweetness; that we may be found worthy to be made a sweet savour unto Christ our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Bartholomew, Apostle	269	 08-24	O ALMIGHTY and everlasting God, who didst give to thine Apostle Bartholomew grace truly to believe and to preach thy Word: grant, we beseech thee, unto thy Church; to love that Word which he believed, and both to preach and to receive the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Louis of France, King	270	 08-25	O GOD, who didst exalt blessed Louis from the cares of earthly rule to the glory of thy heavenly kingdom: grant, we pray thee, through his intercession; that, by fulfilling our duties on earth, we may be made heirs of the King of kings, even Jesus Christ thy Son our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Joseph of Calasanz, Priest	271	 08-25	O GOD, who didst adorn the Priest Saint Joseph Calasanz with such charity and patience that he laboured tirelessly to educate children and endow them with every virtue: grant, we pray; that we, who venerate him as a teacher of wisdom, may constantly imitate his work for thy truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Bl Dominic of the Mother of God, Priest	272	 08-26	O GOD, who didst choose thy Priest Blessed Dominic Barberi to be a minister of thy salvation, so that his teaching and example might help many to find peace and reconciliation in thy Church: mercifully guide our steps, we humbly pray, along that same way of love and truth, until by thy grace we gain its eternal reward; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St David Lewis, Martyr	273	 08-26	O GOD, who through the Precious Blood of thy only Son hast redeemed mankind: grant that, as we rejoice that thy Martyr Saint David Lewis was united to the sacrifice of thy Son; thy saving work may be accomplished in us, and we may become worthy to gather its fruit; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Monica	274	 08-27	O GOD, who art the Comforter of them that mourn, and the Salvation of them that hope in thee, who didst graciously regard the tearful pleading of blessed Monica for the conversion of her son Augustine: grant, we beseech thee, at their united intercession; that we may truly lament our sins and be made worthy to obtain thy gracious pardon; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Augustine of Hippo, Bishop, Doctor	275	 08-28	O MERCIFUL Lord, who didst turn Saint Augustine from his sins to be a faithful Bishop and teacher: grant that we may follow him in penitence and godly discipline; till our restless hearts find their rest in thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Beheading of St John the Baptist	276	 08-29	O GOD, who didst send thy messenger, Saint John the Baptist, to be the forerunner of the Lord, and to glorify thee by his death: grant that we, who have received the truth of thy most holy Gospel, may bear our witness thereunto; and after his example and aided by his prayers, constantly speak the truth, boldly rebuke vice, and patiently suffer for the truth’s sake; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Margaret Clitherow, Anne Line, & Margaret Ward, Martyrs	277	 08-30	STEADFAST God: as we honour the fidelity in life and constancy in death of thy holy Martyrs Margaret Clitherow, Anne Line, and Margaret Ward; we pray thee to raise up in our day women of courage and resource to care for thy household the Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Aidan of Lindisfarne, Bishop, Missionary	278	 08-31	O EVERLASTING God, who didst send thy gentle Bishop Aidan to proclaim the Gospel in Britain: grant that, aided by his prayers; we may live after his teaching in simplicity, humility, and love for the poor; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Gregory the Great, Pope, Doctor	279	 09-03	ALMIGHTY and merciful God, who didst raise up thy servant Pope Gregory to be the servant of the servants of God, and didst inspire him to send missionaries to preach the Gospel to the English people: preserve in thy Church the Catholic and Apostolic Faith they taught; that thy people, being fruitful in every good work, may receive the crown of glory that fadeth not away; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Cuthbert, Bishop	280	 09-04	ALMIGHTY God, who didst call thy servant Cuthbert from tending sheep to follow thy Son and to be a shepherd of thy people: in thy mercy, grant that we may so follow his example; that we may bring those who are lost home to thy fold; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Nativity of our Lady	281	 09-08	O LORD, we beseech thee, bestow on thy servants the gift of heavenly grace: that as our redemption began to dawn in the child-bearing of the Blessed Virgin Mary; so this festival of her Nativity may yield us an increase of peace; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Peter Claver, Priest	282	 09-09	O GOD, who madest Saint Peter Claver a slave of slaves and strengthened him with wonderful charity and patience as he came to their help: grant, through his intercession; that, seeking the things of Christ, we may love our neighbour in deeds and in truth; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Most Holy Name of Mary	283	 09-12	GRANT, we beseech thee, almighty God: that thy faithful people who rejoice in the Name and protection of the most holy Virgin Mary; may by her loving intercession be delivered from all evils on earth and be found worthy to come to everlasting joys in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Chrysostom, Bishop, Doctor	284	 09-13	O GOD of truth and love, who gavest to thy Bishop John Chrysostom eloquence to declare thy righteousness in the great congregation, and courage to bear reproach for the honour of thy Name: mercifully grant to the ministers of thy Word such excellence in preaching; that all people may share with them in the glory that shall be revealed; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Exaltation of the Holy Cross	285	 09-14	ALMIGHTY God, whose Son our Saviour Jesus Christ was lifted high upon the Cross that he might draw the whole world unto himself: mercifully grant that we, who glory in the mystery of our redemption, may have grace to take up our cross and follow him; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Our Lady of Sorrows	286	 09-15	O LORD, in whose Passion, according to the word of Simeon, the sword of sorrow didst pierce the most sweet soul of the glorious Virgin and Mother Mary: graciously grant; that we, who devoutly call to mind her sorrows, may obtain the blessed effects of thy Passion; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Cornelius, Pope, & Cyprian, Bishop, Martyrs	287	 09-16	O GOD, who didst give Saints Cornelius and Cyprian to thy people as diligent shepherds and valiant Martyrs: grant that, through their intercession; we may be strengthened in faith and constancy and spend ourselves without reserve for the unity of the Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Robert Bellarmine, Down Syndrome Patron, Bishop, Doctor	288	 09-17	O GOD, who didst adorn blessed Robert Bellarmine, thy Bishop and Doctor, with wondrous learning and virtue, to banish the wiles of error and contend for the rights of the Apostolic See: grant by his merits and intercession; that we may grow in the love of truth, and that the hearts of those that err may return to the unity of thy Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Ninian, Bishop	289	 09-17	O GOD, who hast made this day to be observed in honour of blessed Ninian, thy Confessor and Bishop: mercifully grant; that as through his teaching the light of truth hath been shed forth in our hearts, so through his intercession we may attain to the joys of life everlasting; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Edith of Wilton, Virgin	290	 09-17	O GOD, who didst will that thy Son our Lord should be born of a Virgin, and didst thereby give unto thy faithful a pattern of chastity: grant to us, through the prayers of Saint Edith thy Virgin, that purity of mind and body, whereby we may obtain the felicity promised to us by thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Theodore of Tarsus, Archbishop of Canterbury	291	 09-19	O GOD, whose Bishop Theodore was called to England (to this land), to set the Church on a firm foundation: by his prayers, build us always anew on the rock that is Christ; and keep thy household faithful to the call we have received; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Andrew Kim Taegon, Priest, & Paul Chong Hasang, & Companions, Martyrs	292	 09-20	O GOD, who wast pleased to increase thy adopted children in all the world, and who made the blood of thy Martyrs Saint Andrew Kim Tae- gŏn and his Companions a most fruitful seed of Christians: grant that we may be defended by their help and profit always from their example; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Matthew, Apostle, Evangelist	293	 09-21	O ALMIGHTY God, who by thy blessed Son didst call Saint Matthew from the receipt of custom to be an Apostle and Evangelist: grant us grace to forsake all covetous desires and inordinate love of riches; and to follow the same thy Son Jesus Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Pius of Pietrelcina, Priest	294	 09-23	ALMIGHTY everliving God, who, by a singular grace, didst give the Priest Saint Pius a share in the Cross of thy Son and, by means of his ministry, renewed the wonders of thy mercy: grant that, through his intercession, we may be united constantly to the sufferings of Christ, and so brought happily to the glory of the Resurrection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Our Lady of Walsingham	295	 09-24	O GOD, who, through the mystery of the Word made flesh, didst in thy mercy sanctify the house of the Blessed Virgin Mary: do thou grant that we may keep aloof from the tabernacle of sinners; and become worthy indwellers of thy house; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.  or: GRANT, we pray thee, O Lord God, that as in the mystery of the Incarnation the Blessed and ever-Virgin Mary conceived thy Son in her heart before she conceived him in her womb: so we, thy pilgrim people, rejoicing in her patronage, may welcome him into our hearts; and, like her, be made a holy house fit for his eternal dwelling; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Cosmas & Damian, Martyrs	296	 09-26	GRANT, we beseech thee, Almighty God: that we who celebrate the heavenly birthday of Saints Cosmas and Damian, thy Martyrs; may by their intercession be delivered from all evils that beset us; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Vincent de Paul, Priest	297	 09-27	O GOD, who didst strengthen blessed Vincent de Paul with apostolic power for preaching the Gospel to the poor, and for promoting worthiness in the clergy: grant, we beseech thee; that we who reverence his pious deeds may also be taught by the example of his virtues; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Wenceslaus, Martyr	298	 09-28	O GOD, who by the victory of martyrdom didst exalt blessed Wenceslaus from an earthly realm to the glory of thy heavenly kingdom: grant, we pray thee, that by his merits and intercession; we may be made heirs of the King of kings, even Jesus Christ thy Son our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Michael, Gabriel & Raphael, Archangels	299	 09-29	O EVERLASTING God, who hast ordained and constituted the services of Angels and men in a wonderful order: mercifully grant that as thy holy Angels alway do thee service in heaven; so by thy appointment they may succour and defend us on earth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Jerome, Priest, Doctor	300	 09-30	O GOD, who hast given us the holy Scriptures for a light to shine upon our path: grant us, after the example of thy servant Saint Jerome and assisted by his prayers, so to learn of thee according to thy holy Word; that we may find in it the light that shineth more and more unto the perfect day; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Teresa of Lisieux, Virgin, Doctor	301	 10-01	O LORD Jesus Christ, who hast said, except ye become as little children ye shall not enter into the kingdom of heaven: grant us, we beseech thee, in meekness and lowliness of heart to follow the footsteps of blessed Thérèse thy Virgin; and so at last to come unto thine everlasting kingdom; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Holy Guardian Angels	302	 10-02	O GOD, who in thine ineffable providence dost vouchsafe to send thy holy Angels to guard us: grant, of thy bountiful goodness; that we thy humble servants may continue in safety under their protection, and hereafter rejoice in their abiding fellowship; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Thomas of Hereford, Bishop	303	 10-03	O GOD, who didst adorn thy Church with the angelic purity and glorious virtues of the blessed Bishop Thomas of Hereford: grant unto us thy servants; that, by the pleading of his merits, we may with him be worthy to be joined unto the company of Angels; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Francis of Assisi, Ecology Patron, Founder, Confessor	304	 10-04	O GOD, who dost ever delight to reveal thyself to the childlike and lowly of heart: grant that, following the example of blessed Francis, and aided by his prayers; we may count the wisdom of this world as foolishness and know only Jesus Christ and him crucified; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Bruno, Priest	305	 10-06	ALMIGHTY and everlasting God, who dost prepare mansions in heaven for them that forsake the world: we humbly entreat thy boundless mercy; that at the intercession of blessed Bruno, thy Confessor, we may be faithful to vows that we have made, and may obtain, to our eternal salvation, the rewards which thou hast promised to them that persevere unto the end; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Our Lady of the Rosary	306	 10-07	O GOD, whose Only Begotten Son by his life, death, and Resurrection, hath purchased for us the rewards of eternal salvation: grant, we beseech thee; that meditating upon the mysteries of the Rosary, our devotion may bud forth as the rose in honour of the Blessed Virgin Mary, and that we may so follow the pattern of their teaching, that we may finally be made partakers of thy heavenly promises; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Denis, France Co-Patron, Bishop, & Companions, Martyrs	307	 10-08	O GOD, who didst strengthen blessed Denis, thy Martyr and Bishop, with the virtue of constancy in his suffering, and didst vouchsafe to join unto him Rusticus and Eleutherius, for the preaching of thy glory to the heathen: grant us, we beseech thee, by their example, to despise the prosperity of this world; and to fear none of its adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Henry Newman, Catholic Education Co-Patron, Priest, Doctor	308	 10-09	O GOD, who didst bestow upon thy Priest Blessed John Henry Newman, the grace to follow thy kindly light and find peace in thy Church: graciously grant that, through his intercession and example; we may be led out of shadows and images into the fulness of thy truth; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Paulinus of York, Bishop, Missionary	309	 10-10	O GOD our Saviour, who didst send thy servant Paulinus to preach and to baptize, and so to build up thy Church: grant that, being inspired by his example, we may proclaim to the whole world thy truth; that with him we may receive the reward thou hast prepared for all thy faithful servants; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Ethelburga, Abbess	310	 10-11	Common of Holy Men and Women: For an Abbess
St Wilfrid, Bishop, Missionary	311	 10-12	ALMIGHTY God, who didst call our forebears to the light of the Gospel by the preaching of thy servant Wilfrid: grant us, who keep his life and labour in remembrance, to glorify thy Name by following the example of his zeal and perseverance; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Edward the Confessor, King	312	 10-13	O GOD, who hast crowned thy blessed Confessor King Edward with eternal glory: grant that we who venerate him on earth, may be found worthy to reign with him in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Callistus, Pope, Martyr	313	 10-14	O GOD, who didst raise up Pope Saint Callistus to serve the Church and attend devoutly to Christ’s faithful departed: strengthen us, we pray, by his witness to the faith; so that, rescued from the slavery of corruption, we may merit an incorruptible inheritance; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Teresa of Ávila, Virgin, Doctor	314	 10-15	MERCIFUL God, who by thy Spirit didst raise up thy servant Saint Teresa of Jesus to reveal to thy Church the way of perfection: grant that her teaching may awaken in us a longing for holiness until, assisted by her intercession, we attain to the perfect union of love in Jesus Christ thy Son our Lord; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Hedwig, Religious	315	 10-16	O GOD, who didst teach blessed Hedwig to forsake the pomps and vanities of this life, for the humble following of the Cross: mercifully grant that, by her merits and example; we may learn to trample underfoot the transitory pleasuresof this world, and cleaving steadfastly to the Cross of Christ to overcome all things contrary to our salvation; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Margaret Mary Alacoque, Virgin	316	 10-16	O LORD Jesus Christ, who unto thy holy Virgin Margaret Mary Alacoque didst reveal the unsearchable riches of thy Sacred Heart: grant us, by her merits and example, to love thee in all things and above all things; and so find in thy loving Heart an everlasting habitation; who livest and reignest with the Father in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Ignatius of Antioch, Bishop, Martyr	317	 10-17	FEED us, O Lord, with the living bread and make us drink deep of the cup of salvation: that, following the teaching of thy Bishop Ignatius, and rejoicing in the faith with which he embraced the death of a Martyr; we may be nourished for that eternal life which he ever desired; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Luke, Evangelist	318	 10-18	ALMIGHTY God, who didst call Saint Luke, whose praise is in the Gospel, to be an Evangelist and physician of the soul: may it please thee; that, by the wholesome medicines of the doctrine delivered by him, all the diseases of our souls may be healed; through the merits of thy Son Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Frideswide, Abbess	319	 10-19	ALMIGHTY everlasting God, the author of virtue and lover of virginity: grant us, we beseech thee; that as Saint Frideswide, thy Virgin and Abbess, was pleasing unto thee by the merit of her chastity, so by her prayers we may find favour with thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John Paul II, Pope	320	 10-22	O GOD, who art rich in mercy and who didst will that thy blessed Saint John Paul the Second should preside as Pope over thy universal Church: grant, we pray; that instructed by his teaching, we may open our hearts to the saving grace of Christ, the sole Redeemer of mankind; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St John of Capistrano, Priest	321	 10-23	O GOD, who didst raise up Saint John of Capistrano to comfort thy faithful people in tribulation: place us, we pray, under thy safe protection and keep thy Church in everlasting peace; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Anthony Mary Claret, Bishop	322	 10-24	O GOD, who for the evangelization of peoples didst strengthen the Bishop Saint Anthony Mary Claret with admirable charity and long-suffering: grant, through his intercession; that, seeking the things that are thine, we may earnestly devote ourselves to winning our brethren for Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
The Six Welsh Martyrs & Companions	323	 10-25	ALMIGHTY God, who in our country raised up Martyrs from every walk of life to vindicate the authority of thy Church in teaching and worship: grant at their intercession, we pray thee; that all our people may be gathered once again to celebrate the same Sacraments under the one Shepherd, Jesus Christ thy Son; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Chad & Cedd, Bishops, Missionaries	324	 10-26	ALMIGHTY and everlasting God, who didst enkindle the flame of thy love in the hearts of thy Bishops Chad and Cedd: grant to us, thy humble servants, the same faith and power of love; that, as we rejoice in their triumph, we may profit by their example and prayers; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
Ss Simon & Jude, Apostles	325	 10-28	O ALMIGHTY God, who hast built thy Church upon the foundation of the Apostles and Prophets, Jesus Christ himself being the head corner-stone: grant us so to be joined together in unity of spirit by their doctrine; that we may be made an holy temple acceptable unto thee; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
ALL SAINTS	326	 11-01	O ALMIGHTY God, who hast knit together thine elect in one communion and fellowship, in the mystical body of thy Son Christ our Lord: grant us grace so to follow thy blessed Saints in all virtuous and godly living; that through their intercession we may come to those unspeakable joys, which thou hast prepared for them that unfeignedly love thee; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
All Souls	327	 11-02	O GOD, the Creator and Redeemer of all them that believe: grant unto the souls of thy servants and handmaids the remission of all their sins; that as they have ever desired thy merciful pardon, so by the supplications of their brethren they may receive the same; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.  or: O GOD, whose nature and property is ever to have mercy and to forgive: have compassion on the souls of thy servants and handmaids; and grant unto them the remission of all their sins, that, being delivered from the bonds of this our mortal nature, they may be found worthy to pass into everlasting life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
St Winifride, Virgin	328	 11-03	ALMIGHTY everlasting God, who didst bestow on blessed Winefride the rewards of virginity: make us, we beseech thee, by her intercession, to lay aside the enticements of this world; and with her to win a throne of everlasting glory; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
